Task ID,Task Name,Description,PIC,Status,Start,End
ogYwcdjr,การให้บริการลูกค้า,การสร้างทีมที่มีประสิทธิภาพ,Ryu,2 ขั้นตอน A,01/08/2024 11:00,01/08/2024 18:00
tCDRU2Vn,การสร้างทีม,การวางแผนธุรกิจให้ประสบความสำเร็จ,Oat,3 ขั้นตอน B,22/05/2024 10:00,22/05/2024 11:30
kHHpAGLm,การให้บริการลูกค้า,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,2 ขั้นตอน A,29/12/2024 16:15,29/12/2024 19:00
QrIF5QBj,การจัดการเวลา,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Xippar,3 ขั้นตอน B,28/10/2024 14:00,28/10/2024 15:15
V4ab9Ztr,การบริหารทรัพยากรบุคคล,การจัดการการเงินอย่างมีประสิทธิภาพ,Xippar,2 ขั้นตอน A,09/01/2024 12:45,09/01/2024 15:00
16KbBQnI,การพัฒนาผลิตภัณฑ์,การสร้างแบรนด์ที่แข็งแกร่ง,Oat,1 รอดำเนินการ,10/06/2024 13:30,10/06/2024 13:45
TjChJU6W,การให้บริการลูกค้า,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,3 ขั้นตอน B,01/10/2024 16:30,01/10/2024 22:00
cQFevkvu,การบริหารทรัพยากรบุคคล,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,4 เสร็จสิ้น,20/07/2024 16:00,20/07/2024 16:30
kIYCTOnb,การจัดการเวลา,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,1 รอดำเนินการ,22/02/2024 11:30,22/02/2024 13:15
F6tg6z2S,การวางแผนธุรกิจ,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,4 เสร็จสิ้น,25/05/2024 14:00,25/05/2024 19:00
gL1doVP0,การจัดการการเงิน,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Ryu,1 รอดำเนินการ,04/02/2024 09:30,04/02/2024 10:45
cYpGc9dC,การจัดการการเงิน,การวางแผนธุรกิจให้ประสบความสำเร็จ,Ryu,3 ขั้นตอน B,25/05/2024 17:00,26/05/2024 00:00
5crlMAH3,การวิเคราะห์ตลาด,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Ryu,4 เสร็จสิ้น,03/01/2024 10:15,03/01/2024 17:30
Vn94ZkK8,การจัดการการเงิน,การวางแผนธุรกิจให้ประสบความสำเร็จ,Ryu,4 เสร็จสิ้น,22/08/2024 13:15,22/08/2024 18:15
j81ZxKEo,การจัดการเวลา,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,1 รอดำเนินการ,05/09/2024 10:15,05/09/2024 18:00
LaSpQVWo,การพัฒนาผลิตภัณฑ์,การจัดการการเงินอย่างมีประสิทธิภาพ,Ryu,3 ขั้นตอน B,28/04/2024 17:00,28/04/2024 20:45
FZjlHxb1,การสร้างแบรนด์,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Praew,3 ขั้นตอน B,22/05/2024 12:30,22/05/2024 13:30
uaISChcR,การวางแผนธุรกิจ,การสร้างทีมที่มีประสิทธิภาพ,Ryu,2 ขั้นตอน A,18/10/2024 13:00,18/10/2024 16:30
QCBvGSQn,การจัดการการเงิน,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,4 เสร็จสิ้น,06/10/2024 17:45,06/10/2024 18:30
T8Qa3R4M,การให้บริการลูกค้า,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Praew,1 รอดำเนินการ,27/02/2024 14:00,27/02/2024 14:30
pPsfsmZG,การวางแผนธุรกิจ,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,4 เสร็จสิ้น,29/06/2024 16:45,29/06/2024 17:00
GafVKC3A,การทำการตลาดออนไลน์,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Xippar,4 เสร็จสิ้น,30/06/2024 14:45,30/06/2024 18:30
NLaa0A5f,การจัดการเวลา,การจัดการการเงินอย่างมีประสิทธิภาพ,Praew,3 ขั้นตอน B,23/08/2024 11:15,23/08/2024 19:00
qH5Ols1I,การวางแผนธุรกิจ,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Praew,2 ขั้นตอน A,25/11/2024 16:15,25/11/2024 18:30
EZQ4A7KQ,การวางแผนธุรกิจ,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Praew,3 ขั้นตอน B,12/05/2024 14:15,12/05/2024 20:15
stTSUk9n,การสร้างแบรนด์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,4 เสร็จสิ้น,31/03/2024 12:30,31/03/2024 17:45
nJ0vn7VK,การจัดการการเงิน,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,3 ขั้นตอน B,23/02/2024 15:30,23/02/2024 17:30
qXSPMZqY,การบริหารทรัพยากรบุคคล,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Ryu,2 ขั้นตอน A,14/08/2024 12:15,14/08/2024 12:30
tMZfx9i5,การทำการตลาดออนไลน์,การสร้างทีมที่มีประสิทธิภาพ,Praew,4 เสร็จสิ้น,04/11/2024 13:00,04/11/2024 15:15
8GMHZPLO,การวิเคราะห์ตลาด,การวางแผนธุรกิจให้ประสบความสำเร็จ,Xippar,2 ขั้นตอน A,18/08/2024 16:15,18/08/2024 23:15
PwOUCcLQ,การสร้างแบรนด์,การสร้างทีมที่มีประสิทธิภาพ,Oat,3 ขั้นตอน B,01/08/2024 14:00,01/08/2024 18:00
NvP9doqy,การให้บริการลูกค้า,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Ryu,4 เสร็จสิ้น,26/11/2024 15:15,26/11/2024 18:45
YGsbG71l,การจัดการเวลา,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,1 รอดำเนินการ,11/08/2024 15:15,11/08/2024 22:00
kidpvdHf,การให้บริการลูกค้า,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,3 ขั้นตอน B,02/04/2024 14:15,02/04/2024 15:15
bQB9VVM0,การวิเคราะห์ตลาด,การสร้างทีมที่มีประสิทธิภาพ,Oat,1 รอดำเนินการ,11/02/2024 13:00,11/02/2024 17:45
ufVuuo2g,การจัดการการเงิน,การจัดการการเงินอย่างมีประสิทธิภาพ,Oat,3 ขั้นตอน B,21/03/2024 15:30,21/03/2024 22:30
t2P6eIim,การสร้างทีม,การจัดการการเงินอย่างมีประสิทธิภาพ,Ryu,1 รอดำเนินการ,24/06/2024 13:30,24/06/2024 16:30
VxQz0m6c,การบริหารทรัพยากรบุคคล,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Xippar,4 เสร็จสิ้น,22/03/2024 11:15,22/03/2024 12:00
cX5nisuk,การบริหารทรัพยากรบุคคล,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Ryu,3 ขั้นตอน B,28/02/2024 10:45,28/02/2024 14:00
5KNTpjJQ,การให้บริการลูกค้า,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Ryu,1 รอดำเนินการ,15/09/2024 13:30,15/09/2024 20:00
A0AAqDY9,การวางแผนธุรกิจ,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,4 เสร็จสิ้น,06/02/2024 10:00,06/02/2024 15:00
OlAqwhin,การทำการตลาดออนไลน์,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Xippar,1 รอดำเนินการ,20/07/2024 09:45,20/07/2024 13:45
rrunXpWc,การให้บริการลูกค้า,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Xippar,4 เสร็จสิ้น,16/09/2024 11:15,16/09/2024 12:00
ipHdLyvC,การบริหารทรัพยากรบุคคล,การจัดการการเงินอย่างมีประสิทธิภาพ,Oat,1 รอดำเนินการ,19/10/2024 14:00,19/10/2024 21:30
T84HUVNE,การทำการตลาดออนไลน์,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,3 ขั้นตอน B,30/09/2024 17:30,30/09/2024 20:30
bxLXw4WJ,การวิเคราะห์ตลาด,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Oat,4 เสร็จสิ้น,03/08/2024 13:00,03/08/2024 19:00
qTKQ3Q8p,การให้บริการลูกค้า,การวางแผนธุรกิจให้ประสบความสำเร็จ,Xippar,1 รอดำเนินการ,20/08/2024 16:30,21/08/2024 00:00
ASYbx9Bx,การบริหารทรัพยากรบุคคล,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,3 ขั้นตอน B,11/02/2024 14:15,11/02/2024 16:00
7FGDJfSC,การสร้างทีม,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Praew,2 ขั้นตอน A,06/02/2024 11:00,06/02/2024 17:15
LCSieLdO,การสร้างทีม,การสร้างแบรนด์ที่แข็งแกร่ง,Praew,3 ขั้นตอน B,26/05/2024 11:30,26/05/2024 15:30
eptgvoZg,การจัดการการเงิน,การสร้างแบรนด์ที่แข็งแกร่ง,Xippar,2 ขั้นตอน A,27/10/2024 14:00,27/10/2024 19:45
Sr517BBz,การบริหารทรัพยากรบุคคล,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Ryu,3 ขั้นตอน B,04/11/2024 14:30,04/11/2024 19:30
MSYOsiiD,การวิเคราะห์ตลาด,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,2 ขั้นตอน A,07/03/2024 14:45,07/03/2024 21:15
oqXq9daS,การบริหารทรัพยากรบุคคล,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,4 เสร็จสิ้น,26/11/2024 11:00,26/11/2024 11:45
Fjvzdwa6,การทำการตลาดออนไลน์,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Praew,3 ขั้นตอน B,28/06/2024 11:45,28/06/2024 14:45
C8L5nmQL,การวิเคราะห์ตลาด,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Ryu,2 ขั้นตอน A,21/05/2024 10:45,21/05/2024 15:45
63pL8KEF,การสร้างทีม,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Praew,3 ขั้นตอน B,23/11/2024 17:45,23/11/2024 23:45
7ruGnqoH,การสร้างทีม,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Ryu,3 ขั้นตอน B,06/04/2024 15:00,06/04/2024 16:30
Ta7ostka,การบริหารทรัพยากรบุคคล,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Oat,1 รอดำเนินการ,11/11/2024 15:00,11/11/2024 15:45
ipla5Kbl,การจัดการเวลา,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Ryu,4 เสร็จสิ้น,28/03/2024 09:30,28/03/2024 13:30
MtOIawZZ,การวิเคราะห์ตลาด,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Ryu,2 ขั้นตอน A,03/07/2024 13:45,03/07/2024 18:30
IbjrR1Pu,การบริหารทรัพยากรบุคคล,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Praew,3 ขั้นตอน B,14/08/2024 15:30,14/08/2024 16:45
eQdisoPC,การพัฒนาผลิตภัณฑ์,การสร้างแบรนด์ที่แข็งแกร่ง,Oat,1 รอดำเนินการ,09/02/2024 10:30,09/02/2024 18:00
IRz2r840,การให้บริการลูกค้า,การสร้างแบรนด์ที่แข็งแกร่ง,Praew,1 รอดำเนินการ,08/07/2024 16:15,08/07/2024 17:00
wnV4Hxqm,การจัดการการเงิน,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Ryu,1 รอดำเนินการ,20/11/2024 17:45,20/11/2024 21:45
RYVhdGpr,การจัดการเวลา,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Ryu,2 ขั้นตอน A,11/11/2024 17:30,11/11/2024 21:00
08DymqZm,การสร้างทีม,การจัดการการเงินอย่างมีประสิทธิภาพ,Oat,2 ขั้นตอน A,07/03/2024 11:00,07/03/2024 11:15
ToDQajqC,การบริหารทรัพยากรบุคคล,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Praew,2 ขั้นตอน A,22/06/2024 11:15,22/06/2024 14:15
fWswrQTB,การทำการตลาดออนไลน์,การสร้างทีมที่มีประสิทธิภาพ,Ryu,2 ขั้นตอน A,21/01/2024 17:15,21/01/2024 21:00
oXKqaspe,การสร้างทีม,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Xippar,3 ขั้นตอน B,28/11/2024 13:15,28/11/2024 19:45
Z76xTVpg,การวางแผนธุรกิจ,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Ryu,3 ขั้นตอน B,15/01/2024 09:30,15/01/2024 14:30
gcWQe5kB,การทำการตลาดออนไลน์,การสร้างทีมที่มีประสิทธิภาพ,Ryu,4 เสร็จสิ้น,03/12/2024 17:00,04/12/2024 00:15
RIJz5L19,การสร้างทีม,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,2 ขั้นตอน A,30/09/2024 14:45,30/09/2024 19:45
cEbbaLTj,การบริหารทรัพยากรบุคคล,การจัดการการเงินอย่างมีประสิทธิภาพ,Praew,4 เสร็จสิ้น,15/10/2024 16:00,15/10/2024 16:45
2oZ1l6pZ,การทำการตลาดออนไลน์,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Oat,1 รอดำเนินการ,01/04/2024 15:15,01/04/2024 20:00
vFEF62fq,การพัฒนาผลิตภัณฑ์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Ryu,2 ขั้นตอน A,24/04/2024 14:00,24/04/2024 14:30
XcutrX1t,การวิเคราะห์ตลาด,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Oat,4 เสร็จสิ้น,09/08/2024 09:30,09/08/2024 16:00
qSRGErg9,การวิเคราะห์ตลาด,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Xippar,1 รอดำเนินการ,18/09/2024 15:00,18/09/2024 19:30
KDy7MPkm,การวิเคราะห์ตลาด,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Xippar,2 ขั้นตอน A,21/10/2024 17:45,22/10/2024 00:45
po0hIyOr,การทำการตลาดออนไลน์,การสร้างทีมที่มีประสิทธิภาพ,Xippar,1 รอดำเนินการ,23/04/2024 14:15,23/04/2024 20:45
WsFz1ntT,การสร้างทีม,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,3 ขั้นตอน B,19/12/2024 14:00,19/12/2024 16:00
VJQ0asgq,การจัดการการเงิน,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Oat,1 รอดำเนินการ,03/01/2024 09:15,03/01/2024 14:00
M46x4uck,การทำการตลาดออนไลน์,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Praew,3 ขั้นตอน B,12/08/2024 15:45,12/08/2024 21:15
n54MUzh5,การทำการตลาดออนไลน์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Ryu,1 รอดำเนินการ,20/12/2024 15:30,20/12/2024 21:15
fHk2HFxB,การสร้างแบรนด์,การจัดการการเงินอย่างมีประสิทธิภาพ,Ryu,3 ขั้นตอน B,15/03/2024 16:30,15/03/2024 21:45
TT9BbYbF,การจัดการเวลา,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Praew,4 เสร็จสิ้น,10/04/2024 17:00,10/04/2024 17:30
AJUthDWv,การทำการตลาดออนไลน์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Praew,2 ขั้นตอน A,31/07/2024 15:15,31/07/2024 18:45
7vgrJO33,การจัดการเวลา,การวางแผนธุรกิจให้ประสบความสำเร็จ,Oat,2 ขั้นตอน A,26/12/2024 17:30,26/12/2024 18:15
61XKPWt1,การวิเคราะห์ตลาด,การสร้างแบรนด์ที่แข็งแกร่ง,Praew,4 เสร็จสิ้น,05/10/2024 11:30,05/10/2024 15:00
hNjn3w0O,การให้บริการลูกค้า,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,3 ขั้นตอน B,05/11/2024 15:15,05/11/2024 15:30
PVhgYeIH,การสร้างแบรนด์,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,4 เสร็จสิ้น,26/02/2024 13:30,26/02/2024 16:30
MLyVAH6Z,การวิเคราะห์ตลาด,การวางแผนธุรกิจให้ประสบความสำเร็จ,Xippar,4 เสร็จสิ้น,23/09/2024 14:30,23/09/2024 21:00
wA7c2jzv,การทำการตลาดออนไลน์,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Praew,1 รอดำเนินการ,26/01/2024 09:30,26/01/2024 15:15
nyP9qI9O,การวางแผนธุรกิจ,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Xippar,3 ขั้นตอน B,01/01/2024 12:45,01/01/2024 14:00
oDdddQFM,การสร้างแบรนด์,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Oat,4 เสร็จสิ้น,12/04/2024 12:15,12/04/2024 16:00
Pbdz6yQe,การจัดการการเงิน,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,2 ขั้นตอน A,18/04/2024 13:45,18/04/2024 15:30
aEQ2QZL5,การสร้างทีม,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,3 ขั้นตอน B,12/04/2024 17:30,12/04/2024 17:45
WeIYs5wC,การวิเคราะห์ตลาด,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Praew,4 เสร็จสิ้น,15/03/2024 10:15,15/03/2024 15:45
HybHeR2d,การพัฒนาผลิตภัณฑ์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Xippar,3 ขั้นตอน B,01/02/2024 10:00,01/02/2024 17:45
1XVzB8tB,การให้บริการลูกค้า,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,2 ขั้นตอน A,15/11/2024 09:00,15/11/2024 14:00
